Experiment No,Location,Date,Injection time,End time,Salt mass [g],145,49,309,Q1,Q2,Q3,t1,t2,t3
1,lowestStream,21.08.2024,12:32:45,12:40:00,10.0,x,x,x,NaN,0.0026,NaN,NaN,105.0,NaN
2,middleStream,21.08.2024,14:23:20,14:30:00,100.0,x,x,x,NaN,0.22,NaN,NaN,80.0,NaN
3,highestStream,21.08.2024,15:09:55,15:16:30,100.0,x,x,x,NaN,0.045,NaN,NaN,70.0,NaN
4,lake,22.08.2024,09:29:20,09:39:00,2000.0,x,x,x,NaN,8.4,NaN,NaN,127.0,NaN
5,middleStream,22.08.2024,13:13:50,13:18:00,200.0,x,x,x,NaN,0.23,NaN,NaN,70.0,NaN
6,middleStream,22.08.2024,13:29:45,13:33:30,200.0,x,x,x,NaN,0.23,NaN,NaN,62.0,NaN
7,highestStream,22.08.2024,13:41:10,13:49:30,100.0,x,x,x,NaN,0.054,NaN,NaN,69.0,NaN
8,lake,22.08.2024,17:00:20,17:06:10,4000.0,x,x,x,NaN,13.0,NaN,NaN,102.0,NaN
9,lake,23.08.2024,09:20:30,09:30:00,2000.0,x,x,x,NaN,NaN,NaN,NaN,NaN,NaN
10,lowestStream,23.08.2024,10:51:20,11:15:30,20.0,x,x,x,NaN,NaN,NaN,NaN,NaN,NaN
11,lowestStream,23.08.2024,11:51:40,12:07:30,10.0,x,x,x,NaN,NaN,NaN,NaN,NaN,NaN
12,lowestStream,23.08.2024,13:45:46,13:49:30,10.0,x,x,x,NaN,NaN,NaN,NaN,NaN,NaN
13,lowestStream,23.08.2024,14:44:20,14:49:50,10.0,x,x,x,NaN,NaN,NaN,NaN,NaN,NaN
14,lake,23.08.2024,16:08:10,16:17:50,4000.0,x,x,x,NaN,NaN,NaN,NaN,NaN,NaN
15,middleStream,24.08.2024,09:34:10,09:47:50,200.0,x,x,x,NaN,0.053,NaN,NaN,120.0,NaN
16,highestStream,24.08.2024,09:54:58,10:05:00,100.0,x,x,x,NaN,0.015,NaN,NaN,91.0,NaN
