Serial Number;205309,,,
Device Identity;205309100mH2O,,,
Exported from File;C:\Users\Mika\Documents\Privat\Studium\Master\Lectures\02_glaciology\Data\2024-08-23\205309-100mH2O_22_08_2024-18_15_03.DX5 ,,,
Record Start Time;22.08.2024 18:15:03,,,
,,,
;;;;CH1;CH4;CH11,,,
;;;;Pressure1;Temperature TOB1;Conductivity Raw,,,
;;;;mbar;°C;uS/cm,,,
No;;Date;Time;P1;TOB1;ConRaw,,,
1;;22/08/2024;18:15:03;790,93930;20,255;0,24040;
2;;22/08/2024;18:15:04;790,93930;20,272;0,25080;
3;;22/08/2024;18:15:05;790,95460;20,255;0,24040;
4;;22/08/2024;18:15:06;790,95460;20,272;0,24040;
5;;22/08/2024;18:15:07;790,95460;20,255;0,24040;
6;;22/08/2024;18:15:08;790,95460;20,255;0,24040;
7;;22/08/2024;18:15:09;790,95460;20,272;0,24040;
8;;22/08/2024;18:15:10;790,95460;20,255;0,25080;
9;;22/08/2024;18:15:11;790,95460;20,255;0,24040;
10;;22/08/2024;18:15:12;790,95460;20,255;0,25080;
11;;22/08/2024;18:15:13;790,95460;20,255;0,25080;
12;;22/08/2024;18:15:14;791,15300;20,255;0,25080;
13;;22/08/2024;18:15:15;791,15300;20,255;0,25080;
14;;22/08/2024;18:15:16;791,15300;20,255;0,24040;
15;;22/08/2024;18:15:17;790,95460;20,255;0,24040;
16;;22/08/2024;18:15:18;790,95460;20,239;0,25080;
17;;22/08/2024;18:15:19;790,95460;20,255;0,24040;
18;;22/08/2024;18:15:20;790,95460;20,255;0,25080;
19;;22/08/2024;18:15:21;790,95460;20,255;0,24040;
20;;22/08/2024;18:15:22;790,95460;20,239;0,24040;
21;;22/08/2024;18:15:23;790,95460;20,255;0,24040;
22;;22/08/2024;18:15:24;790,95460;20,239;0,24040;
23;;22/08/2024;18:15:25;790,95460;20,239;0,24040;
24;;22/08/2024;18:15:26;790,95460;20,239;0,25080;
25;;22/08/2024;18:15:27;790,95460;20,239;0,24040;
26;;22/08/2024;18:15:28;790,95460;20,239;0,24040;
27;;22/08/2024;18:15:29;790,74100;20,255;0,24040;
28;;22/08/2024;18:15:30;790,95460;20,239;0,25080;
29;;22/08/2024;18:15:31;790,95460;20,255;0,24040;
30;;22/08/2024;18:15:32;790,95460;20,239;0,24040;
31;;22/08/2024;18:15:33;790,95460;20,239;0,24040;
32;;22/08/2024;18:15:34;790,95460;20,239;0,24040;
33;;22/08/2024;18:15:35;790,95460;20,239;0,24040;
34;;22/08/2024;18:15:36;790,95460;20,239;0,25080;
35;;22/08/2024;18:15:37;791,16820;20,239;0,24040;
36;;22/08/2024;18:15:38;791,16820;20,239;0,25080;
37;;22/08/2024;18:15:39;790,95460;20,239;0,24040;
38;;22/08/2024;18:15:40;790,95460;20,222;0,24040;
39;;22/08/2024;18:15:41;790,95460;20,222;0,25080;
40;;22/08/2024;18:15:42;790,95460;20,239;0,24040;
41;;22/08/2024;18:15:43;790,95460;20,222;0,24040;
42;;22/08/2024;18:15:44;790,95460;20,222;0,25080;
43;;22/08/2024;18:15:45;790,96980;20,222;0,24040;
44;;22/08/2024;18:15:46;790,96980;20,239;0,24040;
45;;22/08/2024;18:15:47;790,96980;20,222;0,24040;
46;;22/08/2024;18:15:48;790,75620;20,222;0,24040;
47;;22/08/2024;18:15:49;790,96980;20,239;0,24040;
48;;22/08/2024;18:15:50;790,96980;20,222;0,25080;
49;;22/08/2024;18:15:51;790,96980;20,222;0,25080;
50;;22/08/2024;18:15:52;790,96980;20,205;0,24040;
51;;22/08/2024;18:15:53;790,96980;20,222;0,24040;
52;;22/08/2024;18:15:54;790,96980;20,222;0,24040;
53;;22/08/2024;18:15:55;790,96980;20,222;0,25080;
54;;22/08/2024;18:15:56;790,96980;20,222;0,24040;
55;;22/08/2024;18:15:57;790,96980;20,222;0,24040;
56;;22/08/2024;18:15:58;790,96980;20,205;0,24040;
57;;22/08/2024;18:15:59;790,96980;20,222;0,24040;
58;;22/08/2024;18:16:00;790,96980;20,205;0,24040;
59;;22/08/2024;18:16:01;790,96980;20,222;0,24040;
60;;22/08/2024;18:16:02;790,96980;20,222;0,24040;
61;;22/08/2024;18:16:03;790,75620;20,205;0,25080;
62;;22/08/2024;18:16:04;790,96980;20,205;0,25080;
63;;22/08/2024;18:16:05;790,98510;20,205;0,25080;
