Device;Device serial;ID;Date/Time;Value;Unit;Mode;Value2;Unit2;Mode2;Measurement;Calibration;Additional;Sensor;Sensor serial;User
Multi 3620 IDS;22490970;4;21.08.2024 12:19;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:19;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:19;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:21;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:21;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:21;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:21;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:21;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:21;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
Multi 3620 IDS;22490970;4;21.08.2024 12:21;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P;16201702;
