Experiment No,Location,Date, Injection time, End time, Salt mass [g],145,309,wtw
1,lowestStream,21.08.2024,12:32:45,12:40:00,10,1,2,1.1
2,middleStream,21.08.2024,14:23:20,14:30:00,100,1,2,1.1
3,highestStream,21.08.2024,15:09:55,15:16:30,100,2,1,1.1
4,lake,22.08.2024,09:29:20,09:39:00,2000,2,1,1.1
5,middleStream,22.08.2024,13:13:50,13:18:00,200,2,1,1.1
6,middleStream,22.08.2024,13:29:45,13:33:30,200,2,1,1.1
7,highestStream,22.08.2024,13:41:10,13:49:30,100,2,1,1.1
8,lake,22.08.2024,17:00:20,17:06:10,4000,2,1,2.1
9,lake,23.08.2024,09:20:30,09:30:00,2000,1,x,2.1
10,lowestStream,23.08.2024,10:51:20,11:15:30,20,2,x,1.1
11,lowestStream,23.08.2024,11:51:40,12:07:30,10,2,x,1.1
12,lowestStream,23.08.2024,13:45:46,13:49:30,10,2,x,1.1
13,lowestStream,23.08.2024,14:44:20,14:49:50,10,2,x,1.1
14,lake,23.08.2024,16:08:10,16:17:50,4000,2,x,2.1
15,middleStream,24.08.2024,09:34:10,09:47:50,200,2,1,1.1
16,highestStream,24.08.2024,09:54:58,10:05:00,100,2,1,1.1
